query,label
What is the average age of a Palermo resident?,large
What is another name for unicode?,small
Morgan Carroll unsuccessfully ran against Mike Coffman for which of Colorado's congressional district?,large
"who is the lead singer of the Belgian band K's Choice, Marcus Cooper or Sarah Bettens ?",small
What was the nickname for the actor that the original Dinosaurus leading role was intended for?,large
Matthias Sention Sr. was a founding settler of a historic neighborhood founded by Puritans who emigrated in what year?,large
Who made the accusation that the Christians had started the Great Fire?,large
When was the building consecrated?,small
In what language are the songs in the genre for which Alberto Stylee is most famous typically sung?,small
"In 1979, how much did the average per capita income change for Libyans?",large
Where did Cadmon live?,small
Are Genista and Callicarpa in the same family?,small
Warriors appointed to a province were called what?,large
Who was the third caliph?,small
In which city was born the man who wrote a book about a British Army officer who fought in the Second Boer War?,large
How many people live in Lancaster and Morecambe?,large
What is the term for needing the Bible for salvation?,small
What ocean borders Namibia?,small
Who closed the government mint?,large
X Marks the Spot was presented by the author and travel writer of what nationality?,large
Julian C. Day is the former President and CEO of an American big box department store chain that purchased Sears for how much in 2005?,large
Are Edward H. Griffith and Paula Heredia both filmmakers?,small
How many men were studied for tests on the flavor of beer in the Neuropsychopharmacology journal in 2013?,large
Which British poet's writings were the basis for In the Region of the Summer Stars?,large
Where was the Russian Bomarsund fortress at?,small
"Phil Regan was nicknamed ""The Vulture"" by the pitcher who played 12 seasons for which teams?",large
In what year did Hayek come to London?,small
Which Latin father described the belief that Jesus' siblings were his cousins?,large
"Who was drafted into the 2009 NFL Draft, during the he seventy-fourth annual meeting of National Football League (NFL)?",large
After whom is the Houston skate park named?,large
How many times did Israelites have political independence in ancient history? ,large
What year was the municipality that is known for the Amasaman Secondary Technical School inaugurated?,large
"""So Sorry, I Said"" is a single by a singer and actress that won an Acadmeny Award for her role as Sally Bowles in what film?",small
"In what year did the World Council of Churches meet in Uppsala, Sweden?",small
What was The Sun's initial stance toward the closures?,large
Are Schlumbergera and Diphylleia both small cacti?,small
Where did John hold a council in January 1215?,large
"The Devil's Acre was a notorious slum near a large, mainly Gothic abbey church that between 1540 and 1556 had the status of what?",large
What would be the new name of the D.C. State?,small
Were other mathematicians amazed by von Neumann?,small
"Along with the Oriana, what's the other P&O liner with a name that starts with the same letter?",large
Which contestant came in second on season 12 of American Idol?,small
What type of game is Agricola and Carrom?,small
Who was frustrated in Whitehead's books but still interested?,large
"What is a major airline operating flights from Kuala Lumpur International Airport and from secondary hubs in Kota Kinabalu and Kuching to destinations throughout Asia, Oceania and Europe, whos executive officer is a veteran in the tourism and aviation industry with over 30 years of experience in related fields ?",large
When did Valencia's rapid development begin?,large
What type of work did Paul Vi finish that had been started by two previous popes?,large
"What types of musicians were the Contortions, Teenage Jesus and the Jerks, Mars, DNA, Theoretical Girls and Rhys Chatham?",small
Where did Japanese ground attack repeatedly?forces ,large
Samuel Taylor is listed as enriching what?,large
"Which university is older, University of South Alabama or Youngstown State University?",small
"What was the second album by the singer who was a client of Andros Rodriguez, and whose debut album was  ""Santogold""?",large
"Umberto Guidoni and Reinhold Ewald, are physicists and, which other occupation?",small
"For one hour each spring, how far ahead of Pacific Time is Mountain Time in the United States?",small
Are Lynchburg Regional Airport and Grand Canyon West Airport both public airports?,small
What well-known musician was once part of the college a capella group The Counterparts?,large
What did Feynman help develop in the 1980s?,small
Atchison is a city named in honor of of man best known for the questionable claim that for one day he may have been what?,large
What is Stephen F. Cohen's wife's nationality?,small
"From this case, what happened?",small
Which coat is more common with dogs living in colder climates?,small
"William R. Vance, was the seventh mayor of Louisville, Kentucky from 1847 to 1850, during his administration, he conveyed the tract of land that became Cave Hill Cemetery, a Victorian era National Cemetery and arboretum located at 701 Baxter Avenue, Louisville, in which U.S. state?",large
When did a rescue team depart?,large
Bar Hopping is a 2000 comedy film starring an American actor known for his role as Chachi Arcola on what sitcom?,small
When did Gaddafi decide to stage his coup?,small
When was full coverage of the BBC's standard programming launched in online stream format?,large
Andy Duncan was the CEO of the group that operates what scheme?,large
The Directorate of Analysis has an office dedicated to what country?,small
What is Crohn's disease?,small
What is the name of the American entertainer that was born as Joseph Gottlieb and featured in the film based on the real life U.S. Army Delta Force unit?,large
"What book describing a plan for the occupation of Germany after WWII was written by Henry Mogrenthau Jr, US Secretary of the Treasury under President Franklin D. Roosevelt?",large
"Kevin Stanley Beeston FCMA is chairman of Taylor Wimpey plc and Equiniti Group plc, Senior Independent Director of Severn Trent plc, Non-Executive Director of which British brewery and pub operator, that it operates over 1,700 pubs in the UK, and is the world's largest brewer of cask ale?",large
A small portion of the inmates of Military Units to Aid Production or UMAPs were attracted to members of the same sex. What is the word for that?,large
Who founded the following Qajar Empire in 1794?,small
Victoria and Albert were the guests of honor at a large ball that took place where?,large
Who was replaced by the head coach of the 2015–16 Missouri Tigers women's basketball team?,large
UCS chargers will also include what?,large
Pesticides contribute to what sort of pollution?,small
What part of a battle line are the precision strike aircraft of the USAF deployed?,large
The function of the brain from an evolutionary-biological thought is what?,large
"Which documentary, Bomb Harvest or Spencer Halpin's Moral Kombat, was created first?",small
"Kiss' Hit 'N Run Mini Tour was a series of shows Kiss did in the summer of which year, Tommy Thayer performed on their own while Stanley was being treated at a hospital in California?",small
"Who is older, Adam Levine or Leigh Nash?",small
Nick Houghton was replaced as Chief of the Defence Staff by a man who was deployed to what country in 2000?,large
How can the location and amount of insects be changed?,large
What did the term Arian mean to him?,large
What gun do designated marksmen use?,small
Truman is the former curator of contemporary art at a museum in Wisconsin which is committed to understanding what people?,large
What are at the ends of the ropes to help the gymnists hold it?,small
How many a cappella groups does Washington University have?,large
Are both Yan'an and Hunchun in the same Chinese province ?,small
"When was the American actress, director, and producer who's debut film is Surrender Dorothy(1998) and was also a guest star in ""Double-Edged Sword""?",large
Who was on the committee that found a new site for Washington University?,large
What school of thought is closest to Vaisesika school?,small
What program aired on PBS about Neptune?,large
Policital leadership of athens was passed to a decendant of what powerful and historically influential family?,large
Which of the following has a father as an executive in the baking industry: Gary T. Smith or Kenneth Branagh?,small
About how many people in Somalia speak Somali?,small
"Jeremy Lloyd, along with the help of what writer, wrote Which Way to the War?",small
Who created a sculpture two miles from Horse Thief Lake?,large
"The musician also known as ""Braddah Iz""  is a member of what Hawaiian musical group?",small
Who wrote the movie that Philip Hill-Pearson and David Tennant collaborated on?,large
Which system in the body controls urination?,small
Who does the Board of Trustees delegate it's power to?,large
Which position reads the commisssion aloud during tthe ceremony?,large
What US Chief of Staff of the US Air Force also resigned in June of 2008?,small
Lissa Golaski was a character in the film prequel for a video game that was released when?,large
"Who was the English Bishop of London sometimes known as Lupus who wrote the recensions collectively known as ""Recensions B""?",large
Why use two consecutive year dates?,large
What was the name of the NES clone produced in Taiwan?,small
What type of numbers under addition form a monoid?,small
What Peninsula is home to a trail that also runs through the Lone Range Mountains?,large
"Arnie is a television sitcom that ran for two seasons, it starred Roger Bowen, he was an American comedic actor and novelist, known for his portrayal of Lt. Col. Henry Blake in the film ""M*A*S*H"", released in which year?",large
Whose graduates tutored many boys from the Jenkins Orphanage?,large
"Preston North End Football Club, an English association football club based in the Deepdale area of Preston, Lancashire, was founded in which year, they were the only team to be known by this nickname for 115 years until Arsenal completed their 2003–04 season without a defeat?",large
Are Santorini and Cosmic Encounter both board games?,small
What law in the US considers digital transmission of audio to be licensed if certain conditions are met?,large
Is Skil Brum and Mount Gongga in the same country?,small
Do most sexual experiences during adolescence take place within or seperate from romantic relationships?,small
During what major event did Norfolk Island become an important airbase and refuelling station?,small
What year were limits placed upon plebeians that prevented them from holding more than one office concurrently?,large
"The station, Salyut 1, came back to Earth on which date?",small
Which Electrical Engineer appeared in writer and director Farhan Akhtar's first film?,large
In what year did the Hudson's skyscraper close? ,large
What was Indy's father's career?,small
What major nationalist movement has Nigeria had?,large
How does Houston's George Bush Intercontinental Airport rank for number of passengers?,large
Erik Koch formerly competed for the MMA promotion founded in what year?,small
What muscle movements are used for digestion?,small
Haredi and Hasidic Jewry have a stronger connection to what country?,small
Who kept a blog about the school deaths?,large
Cabañeros National Park and Teide National Park are both located where?,small
What was destroyed in one of the bombing that hit the palace in WWII?,large
When did Konrad Zuse invent the Z2?,small
When was the author of Losing Our Religion born?,small
Is Czesław Śpiewa from the same country as Wolf Parade?,small
"""Anjunabeats Volume"" features a genre of music called trance that was developed in the early 1990's in what country?",small
In which sport did the Czech stars Daniel Vacek and Hana Mandlíková gain professional status?,small
"John Cabess, (c. 1640s-1722) was a prominent African trader in the port city of Komenda, part of the Eguafo Kingdom, in which modern-day country, he played an active role in which series of wars from 1694 until 1700 largely between the Dutch West India Company and the British Royal African Company in the Eguafo Kingdom, over trade rights?",large
When did the UK speak out against youtube's copyright policies?,large
Who is the oldest of Odessa Grady Clay's two sons?,small
Betty White portrayed Rose Nyland on American television comedy series The Golden Girls on NBC and what spin-off on CBS?,small
After each country adopted the calendar how did the weekly cycle continue?,large
How many seasons did the host of Inside the Vault play for the National Football League?,small
By what year did Japanese strategists expand their concept of the Greater East Asia Co-Prosperity Sphere?,small
What trait did Climacus believe that Hegel suppressed?,large
What must a species do in order to be classified as a predator?,small
"What is the name of the former South Korean boy band leader who left the band in 2010, whose current main rapper was born in 1988?",large
What was the topic of Von Neuman's thesis?,large
Where did undergraduate women live during the first few years of women being allowed to attend Yale?,large
What did the knights of expansionist polices eventually lead to?,large
"Between Soldier Girls and Favela Rising, which film was released earlier?",small
"Which genus contains more species, Hippeastrum or Pittosporum?",small
What French colony did Great Britain conquer in Queen Anne's War?,small
Who was the Senate's Majority Leader in 1958?,small
Are there many product available from farm cultivation on the Greek lands ?,small
What erroneous date did some users start seeing on their consoles?,large
"What is the Proto-Germanic word that ""dog"" may have come from?",small
What was the biggest battle of the American Revolution?,small
Who did Victoria recall to office following her disappointment with Derby in June of 1859? ,large
What person recieved a seven year transportation sentence for striking Victoria on the head with his cane? ,small
During what conflict did the US occupy the Marshall Islands?,small
Which Sun staffers were arrested?,large
Long Island and Staten Island were split in half by what geographical phenomenon?,small
Who was the poem dedicated to individual genereally identified as the Fair Youth of Shakespeare's sonnets about?,large
At what temperature can zinc be pulverized?,small
What South American country did Portugal discover?,small
"How many original games are there in the tactical role-playing video game franchise developed by the same Japanese company who developed the ""Wars"" series of games?",large
"What American singer and actor, best known as a member of a duo with his wife, wrote lyrics for the unproduced musical Miss Spectacular?",small
What mountain is often called the southernmost peak of a mountain range formed roughly 480 million years ago?,large
What was the town formerly known as that Denis Dorozhkin was born in?,large
What was one of the regiments in the Second Battle of Savannah?,large
In which 1975 film starring James Mitchum did Sheriff Rosco P. Coltrane appear?,small
"The Norwegian folk rock band from Lom in Gudbrandsdalen established in 1982 based their concept album ""Bukkerittet"" on what five-act play in verse by the Norwegian dramatist Henrik Ibsen published in 1867?",large
How did the 1984 ACC Men's Basketball Tournament's MVP die?,large
Who was the Director of the History Studies Institute?,large
Which founding member of Return to Forever put out he album If This Bass Could Only Talk?,small
The Palace of Fine Arts hosts what main symphony? ,large
Where was Arthur imprisoned?,large
What rank was club Barcelona in 2003?,large
How many different languages does the 2% of truly indigenous Venezuelans speak?,small
What is the most used material for modern audiophile vinyl releases?,small
Where is the headquarters of the toy retailer that Gerald L Storch once was Chairman and CEO?,small
What does Brasilia's metro area consist of?,large
Sir Sidney Solomon was the older brother of a track and field athlete whose feats were depicted in what 1981 movie?,small
"who is the independent game developer from Alpharetta, Georgia?",large
Who takes care of the 132nd Street Community Garden?,large
What is one benefit of using surface mount components?,small
What was the honor granted a Vestal ?,small
Where were the graves found?,large
"Which pizza chain has more locations, Rosati's or Mellow Mushroom?",small
What served as the capital of France in spirit during the Occupation?,large
"The Monster by Eminem was a top-selling single globally in 2013-14 including New Zealand, and featured which guest singer?",small
Tickle-U and Big Bag are both children's shows. They both aired on what program?,small
 Paulding County was named for one of the captors of the spy who served under which general?,small
When was the American audio engineer and clandestine chemist died who recorded the album Live at the Carousel Ballroom 1968?,large
"What was an American journalist, fiction writer, and folklorist best known for his collection of Uncle Remus stories worked as a journalist in post-Reconstruction Atlanta, Georgia?",large
"According to the doctrine of Immaculate Conception, where was Mary when she first become filled with grace?",small
Which American author wrote The Devil's Delusion ,small
What Apple mouse 1st used multi-touch gesture recognition?,small
What is the earliest known angiosperm?,small
Urinating and defecating in public has been identified as what?,small
"Lahore Eagles home ground is what cricket ground in Lahore, Pakistan",small
Which Angel Warriors star was also in the The Matrix Reloaded?,large
Which softcore porn magazine featured photos of The Naked Women's Wrestling League?,large
When was An Essay Towards the Theory of the Ideal or Intelligible World written?,small
"What are the alternate names of the character played by Chris Wood in The CW television series, ""The Flash?""",small
What nationality is the man who wrote the foreword for Rogue Leaders: The Story of LucasArts?,small
The 1953 Belgian Grand Prix was won by a Ferrari driver who was born when?,small
"Which was earlier, the first year New Hampshire hosted the first primary, or the last time before 2008 Denver hosted the  Democratic National Convention?",large
 Horace Evans was a Welsh physician who was involved in the botched operation on a Foreign Minister born in what year?,large
Liverpool star striker Mohamed Salah and which other Premier League player come from the city of Basyoun? ,small
In India the two main philosophical schools of the Mahayana were Madhyamaka and what else?,small
How similar is Western Armenian to Eastern Armenian dialect?,large
What was the name of the big promotion Apple ran in the special edition of Newsweek?,large
"Who began working in the film industry first, Sarah Price or John H. Auer?",large
Who announced the status of Keeping Up Appearances as the most exported BBC show?,small
What nationality was the paticular composer about whom Anthony Newman is recognised as a specialist on his works ?,small
The hypothalamus is located at the base of what?,small
What is used to make saline or brackish water drinkable?,small
Boris Groysberg is the Richard P. Chapman Professor of Business Administration at Harvard business school in which state?,small
When was the band that released the single Ignorance formed ?,small
What label became Detroit's most famous?,small
"Which player won a French Open final, Tatiana Golovin or Albert Costa?",small
What was the word that Frank Louis Neuhauser spelled in order to win the competition commonly called the National Spelling Bee?,small
" Leonard ""Len"" Benker Johnson organized a concert and a rally featuring an American bass singer who became involved with what?",large
What company owns both WNEU and New England Cable News channels?,small
"What was the event that involved President George H. W. Bush and was discussed in a book by two authors, one of whose name was Jane Mayer?",large
Grodon Willis worked as a cinematographer for which romantic film that stars Woody Allen and Diane Keaton and was produced by Charles Joffe?,large
What part of the iPod is needed to communicate with peripherals?,small
What percentage of plant and animal species extinction is predicted in the 21st century?,large
the second leg of the 2008 Hazfi Cup Final took place in a stadium inaugurated on which day ?,large
In what state did Ambesager Yoseif play football in?,small
"What year did the band that features Jesse Hasek on lead vocals release their fourth studio album, Division?",small
What other sport was played by one of only two batters Philip Barzilla faced in his pitching debut?,small
How has youtube helped the government?,large
What type of legal system is the Philippines officially?,small
Garsington Manor is located near the home of the son of what American-British billionaire philanthropist?,large
Craig Wasson made his film debut in an American disaster-suspense film directed by who?,small
"The play Peter and Alice features a meeting between Alice Liddell and Peter Llewelyn Davies, best known as the source of the name for the title character in what play?",large
Were Finding Dory and Inside Out both spin-offs from another Pixar animated film?,small
When did scientists began to arrive en masse to study the geology and ecology of the Alpine region?,large
Who was the CEO of GE when it announced its Ecoimagination program?,small
"If XXL published by Townsquare Media is a magazine, how would you describe 'The Brown Spectator', a student run conservative and libertarian political writing?",large
"Since 2003-04, has any club won all of its games like Arsenal did?",small
"The Real Story is an American current affairs television program formerly hosted by journalist Gretchen Carlson, an American television commentator and author, on which channel?",large
Are Changde and Fenyang both under the administration of Lüliang?,small
How long have bus tours been available to tourist of Myanmar ?,large
Which Soviet drama film did this Soviet and Russian actor acclaimed for his portrayal of noble and positive characters direct in 1959?,large
How many firefighters work for the New York City Fire Department?,small
How many professional baseball teams are located in New York?,small
On which anniversary of his Humanae Vitae did Paul VI reconfirm the beliefs set forth by the Humanae Vitae? ,large
Which Union general broke the Confederate siege of Chattanooga in November 1863?,small
What are some areas of Somerset county,large
"Which Canadian professional ice hockey forward was traded by Calgary for Kenneth Tyler ""Ken"" Agostino?",small
On what day was Ali appointed as the prophet's successor?,large
Why has demand for water increased annually on Cyprus?,large
"In agreement with NATO members, the US Air Force and which country has created tactics for air defence suppression?",small
"Beauty and the Beast featured an actor who played what character in ""Frozen?""",small
Who did not know about the potential revenue that the programme could have raised initially?,large
In what year did the New Haven Black Panther trials take place in New Haven?,small
"Are ""Woodstock"" and ""Meru"" both documentary films?",small
Which type of sponge cake roll resembles the protein fold introduced by Jane S. Richardson?,small
What is the type of symbiotic relationship where two organisms can't survive without each other?,small
How many people in total lived in Yingxiu?,small
What is the population as of the 2010 census of the city the 2016 Central Oklahoma Bronchos football team played their home games in?,large
Brains of organisms are made up mostly of what two classes of cells?,small
What two genres made inroads on hard rock in the 1970s?,small
Who is the current governor of the state whose 10th territorial governor was one of its first senators?,large
"Who did Luis Gianneo teach, who became considered a chief exponent of Argentine folk music?",small
"In addressing the issue of ""in part,"" the Appeals Chamber found that the part must be a substantial part of what?",large
How many seasons was Jennifer Lopez a judge on American Idol? ,small
"What results in lengthy prison sentences as well as subsequent probation, large fines, and orders to pay restitution directly to victims?",large
For what team did the individual for whom an award named in his honor is presented annually to college football's most outstanding tight end?,large
What was the record breaking transfer fee in 1996?,small
Schwarzenegger shows up as the President of the United States in what 2007 animated movie?,small
Keala Settle's Tony-nominated musical was commissioned by what playhouse?,small
Where were plants also grown besides the garden?,large
"Who is this Chinese model, actress, and singer based in Hong Kong who was chosen by ""Southern Metropolis Daily"" as one of the New Four Dan Actresses in 2013 and appeared in the 2016 Hong Kong-Chinese fantasy film League of Gods?",large
What percentage of buildings were destroyed?,large
What Xbox apps were bundled together?,small
Various French politicians started protests including members of what?,large
What actress played Margaret Joseph Hill? ,small
What occurred in the atmosphere of the earth after the crust was formed?,small
"Louis, Arthur and Gaston Chevrolet's business, the Frontenac Motor Corporation, made racing parts for which car?",small
When was the airline created that has its headquarters in the Torre Bouchard skyscraper ?,small
"What is the release year of this American science fiction film written and directed by Richard Kelly that included the song ""Mad World"", recorded by Gary Jules and Michael Andrews?",large
"Between the two Spanish national parks, Garajonay National Park and Monfragüe, which is known for its bird-life?",small
"The singer with the stage name Gianni Blue featured songs by King Louie, who is a rap artist named after what?",small
What third major clade can many dicot species be found in?,small
Where is the Lancashire Coalfield located?,small
Who founded teh branch of Protestantism practiced in the Nydeggkirche?,small
What was the title character of a 90th birthday special participated in by Thelma Mae Harper made honorary mayor of?,large
"The Joke's Over is a book written and illustrated by Ralph Steadman chronicling the odd and very often dangerous times when he met and worked with his friend Hunter S. Thompson, born in what Kentucky city?",large
Billy Bathgate co-starred an actress from what country?,small
What animal does Boiled egg and Egg as food have in common?,small
"Who is older, Peter Tscherkassky or Abel Ferrara?",small
How large is Crotona Park's lake?,small
What falls under the informal learning umbrella?,large
"What is the birthdate of this Danish former American football kicker and All-American at Michigan State University, who missed a 30-yard field goal with less than a minute remaining in the 1996 Jacksonville Jaguars season?",large
What is the name of the song recorded by Rihanna that was written by Rock City?,small
Who was able to determine the circumference of the Earth?,small
Francesco Meli debuted in 2002 in the opera by Verdi that has how many acts?,small
What year did an accident occur at a German facility with molten steel because of the change to DST?,small
Who were the founders of the magazine published by Time Inc that was created in 1978?,small
What computer accessory was the result of the work on human-computer interaction by the creator of hypertext?  ,small
Where are Muztagh Tower and Changtse mountains located?,small
Who attempted to assassinate the Queen?,small
What is encoded about a subject in verbs in Czech?,small
Which philosophies are the Vedas oriented with?,small
Were Walter Lippmann and H. P. Lovecraft both authors?,small
What have humans used for clothing since prehistoric times?,small
The retired Tajikistani female volleyball and beach volleyball player Shahnoza Nazirova participated in this Volleyball Tournament for the second time that took place in which country?,large
Critics of the HDI cite its focus on which: egalitarianism or authoritarianism?,small
Who is the editor of the scientific journal published by the Acoustical Society of America?,small
Who composed Vartikas on the Panini sutras?,small
Glenn Slater received his third Tony nomination for his performance in a movie with music by who?,large
Which type of birds use tools to drum?,small
Which New York-based newspaper has won the Pulitzer Prize for journalism?,small
How much older was Clyde Barrow's brother than his wife?,large
"How many miles is the city that is the largest in the Gibson County from Jackson, Tennessee?",large
In what year was the actor who plays an anxious novelist in the movie Ruby Sparks born?,small
Who argued that the commercialization of classical music was harmful to the music industry?,large
What cathedral was founded in 1093AD and was the location for Paul Butler's installment and enthronement? ,small
Sir Nolan has worked with what sibling musical group signed to Republic Nashville in August 2009?,small
What was the name of the strategic bombing of North Vietnam?,small
To what corporation did the multi-block site comprising Science Park formerly belong?,small
What Christmas-themed entertainment program has existed since 1955 and is rival to Google Santa Tracker?,small
Howard Johnson inspired the creation of the TVA Credit Union Ballpark in what year?,small
What technology has become more widely available and affordable?,large
What kinds of legislation are a strategy for preventing infringement?,large
"The cartoon ""Drip Dippy Donald"", featuring a character who is an anthropomorphic white duck with a yellow-orange bill, legs, and feet, was directed by who?",large
The Christmas Concerto is bya composer that died in what year?,small
What nationality is the actress in the comedy film described above?,large
An English new wave band formed in London in 1977 had what song in 1979 that was later sampled by Mary J. Blige in another song?,small
What was the original name of the popular band that put the song C'mon Marianne on the Billboard Hot 100 Chart in the 1960s?,small
"Which two cities does the motorway, which intersects Sheffield Parkway at junction 33, connect?",small
Which spelling of Hanover is used in historical contexts?,small
Chris Kirkpatrick was a founding member of which famous American boy band?,small
Are the Date palm and Thermopsis both from North America?,small
"What is the stage name of the lead singer of the group that recorded the album ""Tie a Yellow Ribbon""?",small
On which country is the first disc of The New Crystal Silence recorded?,small
What is a layer of meristem or formative tissue known as?,small
How many different countries developed radar starting in the 1930s?,small
How is the spread of the avian flu related to the conditions in which chickens are kept?,large
Which administration called for investigation into the soundness of GSEs in the early and mid-2000s?,small
What were the floor panels of the caliphs and high ranking officials modeled after?,large
What is the ratio of black and Asian schoolchildren to white schoolchildren?,large
"David M. Viti, was a Canadian football player who played for the Hamilton Tiger-Cats, he played college football at Boston University, a private research university located in Boston, in which U.S. state?",large
"What former Gamecocks wide receiver who also went on to become an analyst for the NFL Network, took a chance and became Professional Management Incorporated's first client?",large
Parsons Xtreme Golf is owned by the founder of the domain registrar that has how many customers?,small
What American professional basketball player re-signed for 2006–07 Atlanta Hawks season?,small
What part of the world has wrestling become less popular in?,large
Michiyo Yasuda worked for which Koganei-based animation studio?,small
Brian London lost in 1966 to what professional boxer born 1942,small
In what year did Josip Broz Tito die?,small
Bodhisattvas are not encouraged to eat what?,small
How many people were gravely injured by the derailment?,small
Leo Howard was certified as the youngest TV director ever by the Guinness World Records for directing a show that originally aired on which TV Channel ?,large
"The 1962 Kentucky Wildcats football team represented the University of Kentucky in the Southeastern Conference during the 1962 college football season, the winning margin was provided by a field goal by Clarkie Mayfield, one of the heroes of the game, who later died at The Beverly Hills Supper Club, fire in Southgate, Kentucky, on which date?",large
How many torchbearers participated in the relay event in Hong Kong?,small
Northern Inuit Dog and Alaskan Malamute are both what?,small
"United States v. Cecil Price, et al., also known as the Mississippi Burning trial, was a criminal trial where the United States charged a group of 18 men with conspiring in a Ku Klux Klan plot to murder three young civil rights workers (Michael Schwerner, James Chaney, and Andrew Goodman) in Philadelphia, Mississippi on which date, the murders of Chaney, Goodman, and Schwerner, also known as the Freedom Summer murders, involved three activists that were abducted and murdered in Neshoba County, Mississippi, during the Civil Rights Movement?",large
Who were the founders of the multinational corporation venture capital conglomerate for which David Baxby was formerly Co-CEO?,small
How many SNES units were sold in the US overall?,small
Who was the co-star of a Hong Kong actress raised in Britain and Hong Kong in the comdey film What a Hero! ?,small
Which districts compose mostly of 2-4 story structures?,large
What is an example of a shorter migration?,large
What was Mozart noted for?,small
"Despite the success, in what year did Date Records cease to exist?",small
"Marysville, Kansas is know to be the birth place of what type of star?",small
What is the alternate name for the Dell Solution Station?,small
"The Dwarves Must Die features a cameo by an American multi-instrumentalist, singer and songwriter best known as a member of what band?",small
Baker Municipal Airport is one nautical mile southeast of the central business district of what city that is the county seat of Fallon County Montana?,small
What American professional basketball team is Rodney Dent a part of?,small
"When was the Indian American conservative political commentator, author and filmmaker born who's documentary film is America: Imagine the World Without Her? ",large
In what year did the Hostellers of London change their name to the Worshipful Company of Innholders?,small
In what language did  the Vedic culture speak?,small
Are Time and Food Network Magazine both weekly publications?,small
"MiG Pilot: The Final Escape of Lieutenant Belenko is a 1980 biography by John Barron about the life and 1976 defection of which Soviet Mikoyan-Gurevich MiG-25 fighter pilot, who defected to the West while flying his MiG-25 'Foxbat' jet fighter and landed in Hakodate, in which country?",large
"During the Second World War, the No. 22 Squadron of the Royal Air Force operated in the torpedo bomber role over this body of water located between Great Britain, Scandinavia, Germany, the Netherlands, Belgium, and France?",large
What was New Delhi's Per Capita GDP in dollars for 2009-10?,small
Book of Dragons was released along with the short film that was directed by whom?,small
What reed instrument was played by Indian musician S. R. D. Vaidyanathan?,small
Mandolyn Wind Ludlum toured and recorded with an alternative hip hop group from where?,small
What hit film did Lee Eun-ju star in besides one about a police detective who investigates a murder case?,small
Name the individual that consolidated the companies that were to become the Computing-Tabulating-Recording Company.,small
"In 2004 The song ""Fame"" finished at #51 on a list that was unveiled during a CBS tv special hosted by who?",small
Homogentisic acid is found in the what type of Irish tree in Europe?,small
What is sand mostly made of?,small
"What is the birth name of the American actress, who was born in 1932, that stars in the upcoming American drama film ""Nostalgia""?",small
"In addition to Matthew Macfadyen and the actor who played Richard Winters in Band of Brothers, what other actor starred in Warriors?",large
"Domingo Jesús Ramón Menargues, a retired long-distance runner from Spain, was born in Crevillente, in which city and port in Spain on the Costa Blanca, the capital of the province of the same name, and of the comarca of Alacantí, in the south of the Valencian Community, both the Spanish and Valencian being official names?",large
Joseph Dubin composed the soundtrack for the RKO Radio film released in what year?,small
When was 'Preventive Police' published?,small
"Chipman L. Flowers, Jr served as treasurer for what state located in the Mid-Atlantic region of the United States, bordered by Maryland, New Jersey, and Pennsylvania?",large
"""Channa Mereya"" is a song from an Indian film written and directed by who?",small
What year was the trial that that the movie Menendez: Blood Brothers is based on?,small
What event was going on during the creation of the atomic bomb?,small
Why were plant populations affected after wolves were eliminated from Yellowstone?,large
